fof_halo_tag,delta1,delta2,sod_halo_core_entropy,TPI,R1,R2,R3,R4
192428183948,0.013181882,0.01778535,177.23648,1.2204566896185536,True,True,False,True
376265811754,0.045265622,0.030649643,159.90079,-0.1937136774960192,True,True,False,False
379452856022,0.013239482,0.04565795,203.20865,-0.915068805977998,True,True,False,False
286092198970,0.11333074,0.10413701,234.5426,-2.942200356540792,False,False,False,False
60678400122,0.036425296,0.026182763,43.78155,3.1483072742266245,True,True,True,True
203550455686,0.003967544,0.02011131,32.28587,2.3942750932396537,True,True,True,True
77188281888,0.0071973563,0.0496996,211.55957,0.4925808614863295,True,True,False,True
343262329930,0.04972541,0.07443517,364.54062,-2.928822284742303,True,False,False,False
321682611786,0.058370747,0.07036105,144.36143,-0.9595411346089148,True,False,True,False
258183450518,0.0093851,0.062207736,102.52006,0.1561627791985982,True,True,True,True
21600232684,0.020119904,0.024881436,116.24929,1.200015353351708,True,True,True,True
236250430016,0.0067453906,0.059127677,186.12102,1.1360200075878597,True,True,False,True
210524406320,0.1304224,0.105822615,116.184906,-1.4093987516599054,False,False,True,False
488673034108,0.019554568,0.0359482,105.63093,0.562295333216263,True,True,True,True
439776769184,0.009709448,0.034653526,255.86145,0.6140678233276234,True,True,False,True
19390369506,0.00781373,0.029809585,101.470215,1.0024330445651968,True,True,True,True
289600343344,0.09572254,0.08792968,247.95244,-1.539240227757913,False,False,False,False
310570724734,0.010690848,0.014131263,109.831345,-0.2880233763560821,True,True,True,False
383600979994,0.028471217,0.05817461,197.77151,1.2254805982261283,True,True,False,True
609326324272,0.09472629,0.034935664,132.48784,-1.9316148114114589,False,True,True,False
560434317276,0.0364797,0.082287796,63.278305,1.7138441946563852,True,False,True,True
506775327816,0.012432248,0.038586076,186.81435,3.13891887397902,True,True,False,True
833494385770,0.037088078,0.025070718,202.4389,-1.8257596846053945,True,True,False,False
862073706400,0.018065128,0.03572831,184.49455,1.3505242402206623,True,True,False,True
618236640198,0.016949184,0.04995511,219.78474,1.0804133456445095,True,True,False,True
727458757338,0.017383803,0.05577989,128.45905,1.629832661360865,True,True,True,True
663320373872,0.033322394,0.030770697,210.38974,-0.6105100258474925,True,True,False,False
957356820248,0.027222387,0.058545303,57.715225,2.0015248846045437,True,True,True,True
875110673710,0.007901511,0.07012834,126.83407,0.023886132011354,True,False,True,True
885588531902,0.018513385,0.02443277,135.05513,2.8087100165157173,True,True,True,True
535025788684,0.00748299,0.040188182,158.7016,0.4918201508848686,True,True,False,True
818889424796,0.01711554,0.02990573,207.87883,1.9959184518120812,True,True,False,True
847148377668,0.097237475,0.022312853,242.57516,-4.020224466452492,False,True,False,False
974813668100,0.041401193,0.036021464,159.61157,-0.0199859322154496,True,True,False,False
978946367306,0.051870365,0.06997174,102.3421,0.3428405820256552,True,True,True,True
245173421828,0.0851837,0.052541662,280.74808,-3.7516880466136113,False,True,False,False
351865080166,0.017262109,0.0193711,204.87833,0.8145399643302986,True,True,False,True
467757915776,0.0071550654,0.015899017,155.31293,1.3332740031069,True,True,False,True
480461941258,0.015705386,0.0759428,283.4236,-0.9425460708096262,True,False,False,False
80082249864,0.027094487,0.008402126,160.76443,0.733486495058788,True,True,False,True
158828368520,0.020726675,0.042363573,104.6125,1.1531486925235583,True,True,True,True
175341198076,0.0109557165,0.053034604,200.01584,-0.5889097094947334,True,True,False,False
168045041766,0.021903822,0.02711103,157.79413,0.7633474701147427,True,True,False,True
270272294472,0.04741965,0.0623263,120.20958,2.0757506406657247,True,True,True,True
319822600694,0.032171756,0.050757393,222.77492,-0.3714585220574058,True,True,False,False
84182668800,0.06605234,0.08166992,93.62604,1.660667945351996,True,False,True,True
135636810392,0.054194797,0.07136755,811.10785,-2.365256280856846,True,False,False,False
291529604192,0.018122077,0.03787437,201.10997,0.9752228673667744,True,True,False,True
406152257310,0.105853535,0.016148994,506.14636,-3.17430962564953,False,True,False,False
293430642022,0.017885571,0.00397911,160.5816,1.0180631774837514,True,True,False,True
350587039726,0.048913,0.04988551,299.16153,-0.9480146437003816,True,True,False,False
189940238872,0.067273416,0.035918374,268.3484,-0.1684519410132287,True,True,False,False
